Word, Guesses, Count
dance,"salet, range, dance",3
dandy,"salet, march, daddy, dandy",4
datum,"salet, party, watch, baton, datum",5
daunt,"salet, paint, haunt, gaunt, taunt, jaunt, daunt",7
dealt,"salet, alert, dealt",3
death,"salet, trade, death",3
debar,"salet, media, ready, debar",4
debit,"salet, event, depot, debut, debit",5
debug,"salet, price, enjoy, debug",4
debut,"salet, event, depot, debut",4
decal,"salet, email, legal, renal, pedal, decal",6
decay,"salet, media, ready, decay",4
decor,"salet, price, decor",3
decoy,"salet, price, gecko, decoy",4
decry,"salet, price, decor, decry",4
defer,"salet, woven, chief, refer, defer",5
deign,"salet, price, being, neigh, feign, deign",6
deity,"salet, their, quite, deity",4
delay,"salet, delay",2
delta,"salet, delta",2
delve,"salet, below, jelly, helix, delve",5
demon,"salet, price, enjoy, demon",4
demur,"salet, price, every, heron, femur, demur",6
denim,"salet, price, begin, denim",4
dense,"salet, house, verse, dense",4
depot,"salet, event, depot",3
depth,"salet, their, depth",3
derby,"salet, price, every, derby",4
deter,"salet, other, enter, meter, deter",5
detox,"salet, their, quote, detox",4
deuce,"salet, price, hence, deuce",4
devil,"salet, while, devil",3
diary,"salet, board, diary",3
dicey,"salet, woven, chief, bicep, dicey",5
digit,"salet, right, digit",3
dilly,"salet, color, fully, billy, willy, hilly, dilly",7
dimly,"salet, would, drill, dimly",4
diner,"salet, woven, under, diner",4
dingo,"salet, which, minor, bingo, dingo",5
dingy,"salet, which, minor, kinky, dingy",5
diode,"salet, price, movie, diode",4
dirge,"salet, price, ridge, dirge",4
dirty,"salet, photo, dirty",3
disco,"salet, music, disco",3
ditch,"salet, photo, dutch, ditch",4
ditto,"salet, photo, motto, ditto",4
ditty,"salet, photo, dirty, ditty",4
diver,"salet, woven, river, diver",4
dizzy,"salet, which, minor, vivid, dizzy",5
dodge,"salet, price, judge, dodge",4
dodgy,"salet, which, group, bongo, foggy, dodgy",6
dogma,"salet, board, vodka, dogma",4
doing,"salet, which, going, doing",4
dolly,"salet, color, holly, jolly, dolly",5
donor,"salet, which, group, donor",4
donut,"salet, right, count, donut",4
dopey,"salet, woven, poker, dopey",4
doubt,"salet, right, count, doubt",4
dough,"salet, which, rough, dough",4
dowdy,"salet, which, known, rowdy, dowdy",5
dowel,"salet, level, model, dowel",4
downy,"salet, which, known, downy",4
dowry,"salet, which, known, rowdy, dowry",5
dozen,"salet, woven, dozen",3
draft,"salet, about, grant, draft",4
drain,"salet, board, drama, drawn, drain",5
drake,"salet, media, grade, drake",4
drama,"salet, board, drama",3
drank,"salet, board, drama, drawn, drank",5
drape,"salet, media, grade, drake, drape",5
drawl,"salet, local, awful, brawl, drawl",5
drawn,"salet, board, drama, drawn",4
dread,"salet, media, grade, bread, dread",5
dream,"salet, media, dream",3
dress,"salet, house, press, dress",4
dried,"salet, woven, chief, dried",4
drier,"salet, woven, chief, dried, drier",5
drift,"salet, right, print, drift",4
drill,"salet, would, drill",3
drink,"salet, which, going, drink",4
drive,"salet, price, drive",3
droit,"salet, right, print, fruit, orbit, droit",6
droll,"salet, would, oddly, droll",4
drone,"salet, price, grove, broke, erode, drone",6
drool,"salet, would, drool",3
droop,"salet, which, group, droop",4
dross,"salet, music, gross, dross",4
drove,"salet, price, grove, drove",4
drown,"salet, which, known, brown, grown, drown",6
druid,"salet, which, minor, druid",4
drunk,"salet, which, group, drunk",4
dryer,"salet, woven, chief, buyer, dryer",5
dryly,"salet, would, drill, dryly",4
duchy,"salet, which, duchy",3
dully,"salet, color, fully, bully, gully, dully",6
